time,power,energy_generation_costs,unit,energy_cashflow,simulation
2023-09-15 08:00:00,-0.29592,35.082,-35.082,TernaAgent,retailer_world
2023-09-15 09:00:00,0.25932,38.429,38.429,Retailer,retailer_world
2023-09-15 09:00:00,-0.32415,38.429,-38.429,TernaAgent,retailer_world
2023-09-15 10:00:00,0.25061,37.138,37.138,Retailer,retailer_world
2023-09-15 10:00:00,-0.31326,37.138,-37.138,TernaAgent,retailer_world
2023-09-15 11:00:00,0.26778,39.682,39.682,Retailer,retailer_world
2023-09-15 11:00:00,-0.33472,39.682,-39.682,TernaAgent,retailer_world
2023-09-15 12:00:00,0.19027,28.196,28.196,Retailer,retailer_world
2023-09-15 12:00:00,-0.23784,28.196,-28.196,TernaAgent,retailer_world
2023-09-15 13:00:00,0.19022,28.189,28.189,Retailer,retailer_world
2023-09-15 13:00:00,-0.23778,28.189,-28.189,TernaAgent,retailer_world
2023-09-15 14:00:00,0.18168,25.272,25.272,Retailer,retailer_world
2023-09-15 14:00:00,-0.21317,25.272,-25.272,TernaAgent,retailer_world
2023-09-15 15:00:00,0.14522,21.52,21.52,Retailer,retailer_world
2023-09-15 15:00:00,-0.18152,21.52,-21.52,TernaAgent,retailer_world
2023-09-15 16:00:00,0.17336,22.057,22.057,Retailer,retailer_world
2023-09-15 16:00:00,-0.18606,22.057,-22.057,TernaAgent,retailer_world
2023-09-15 17:00:00,0.21146,31.06,31.06,Retailer,retailer_world
2023-09-15 17:00:00,-0.262,31.06,-31.06,TernaAgent,retailer_world
2023-09-15 18:00:00,0.18439,27.325,27.325,Retailer,retailer_world
2023-09-15 18:00:00,-0.23049,27.325,-27.325,TernaAgent,retailer_world
2023-09-15 19:00:00,0.18361,29.396,29.396,Retailer,retailer_world
2023-09-15 19:00:00,-0.22951,29.396,-29.396,TernaAgent,retailer_world
2023-09-15 20:00:00,0.17066,27.323,27.323,Retailer,retailer_world
2023-09-15 20:00:00,-0.21332,27.323,-27.323,TernaAgent,retailer_world
2023-09-15 21:00:00,0.16656,26.667,26.667,Retailer,retailer_world
2023-09-15 21:00:00,-0.2082,26.667,-26.667,TernaAgent,retailer_world
2023-09-15 22:00:00,0.1423,22.783,22.783,Retailer,retailer_world
2023-09-15 22:00:00,-0.17788,22.783,-22.783,TernaAgent,retailer_world
2023-09-15 23:00:00,0.13304,17.626,17.626,Retailer,retailer_world
2023-09-15 23:00:00,-0.1663,17.626,-17.626,TernaAgent,retailer_world
2023-09-16 00:00:00,0.12281,11.201,11.208,Retailer,retailer_world
2023-09-16 00:00:00,-0.10575,11.201,-11.208,TernaAgent,retailer_world
2023-09-16 01:00:00,0.10966,9.8794,9.8921,Retailer,retailer_world
2023-09-16 01:00:00,-0.093345,9.8794,-9.8921,TernaAgent,retailer_world
2023-09-16 02:00:00,0.092369,8.3217,8.346,Retailer,retailer_world
2023-09-16 02:00:00,-0.078773,8.3217,-8.346,TernaAgent,retailer_world
2023-09-16 03:00:00,0.08707,11.536,11.536,Retailer,retailer_world
2023-09-16 03:00:00,-0.10884,11.536,-11.536,TernaAgent,retailer_world
2023-09-16 04:00:00,0.08993,11.915,11.915,Retailer,retailer_world
2023-09-16 04:00:00,-0.11241,11.915,-11.915,TernaAgent,retailer_world
2023-09-16 05:00:00,0.08745,11.586,11.586,Retailer,retailer_world
2023-09-16 05:00:00,-0.10931,11.586,-11.586,TernaAgent,retailer_world
2023-09-16 06:00:00,0.10648,14.107,14.107,Retailer,retailer_world
2023-09-16 06:00:00,-0.1331,14.107,-14.107,TernaAgent,retailer_world
2023-09-16 07:00:00,0.14206,22.744,22.744,Retailer,retailer_world
2023-09-16 07:00:00,-0.17757,22.744,-22.744,TernaAgent,retailer_world
2023-09-16 08:00:00,0.20138,32.241,32.241,Retailer,retailer_world
2023-09-16 08:00:00,-0.25172,32.241,-32.241,TernaAgent,retailer_world
2023-09-16 09:00:00,0.2117,25.963,25.963,Retailer,retailer_world
